radius,refractive index,Ext. maxima,wavelgth ext. max.,Sca. maxima,wavelgth sca. max.,Abs. maxima,wavelgth abs. max.,EF. maxima,wavelgth ef. max.
24.0,1.1,2.3595618665723435,520.0,0.16130069291726798,530.0,2.204813959558766,520.0,1.058936479765035,520.0
24.0,1.15,2.7485051010426598,522.0,0.21076089907618634,534.0,2.5488124677106017,522.0,1.0710861654657622,526.0
24.0,1.2,3.1301146654420795,522.0,0.2736288097029298,540.0,2.8860605521085896,522.0,1.0829675456503904,536.0
24.0,1.25,3.516710836148736,530.0,0.353104831839387,544.0,3.200325524059294,528.0,1.0954375385359505,544.0
24.0,1.3,3.9392857820807476,536.0,0.45240037559197177,548.0,3.530179712407361,534.0,1.1070315253905583,552.0
24.0,1.35,4.3997110994250646,542.0,0.5654818929792005,550.0,3.8738775229342384,540.0,1.1169445819445112,562.0
24.0,1.4,4.901216660326892,548.0,0.6933573940843516,554.0,4.229138011841783,546.0,1.1264871859364927,572.0
24.0,1.45,5.3638976912845635,552.0,0.8439092993212719,562.0,4.558385014363665,550.0,1.1355417142663287,582.0
24.0,1.5,5.819388245037479,560.0,1.0211360384168044,568.0,4.841133064109638,558.0,1.141338751860724,594.0
24.0,1.55,6.299007862821822,566.0,1.228839947170527,574.0,5.1174885896932585,564.0,1.1467860867448798,606.0
24.0,1.6,6.8090067191458274,574.0,1.471952621837097,580.0,5.387734427486445,572.0,1.1518617143654295,616.0
24.0,1.65,7.344647321699883,582.0,1.721073263140977,584.0,5.6456321262811455,580.0,1.1557036053077883,628.0
24.0,1.7000000000000002,7.770159129401468,588.0,1.964875963186778,592.0,5.8362374329474225,586.0,1.1590217288605447,642.0
24.0,1.75,8.176303566207565,596.0,2.233541174723754,598.0,5.975165965734398,594.0,1.1617011230482208,654.0
24.0,1.8,8.590466342892606,604.0,2.530374597465641,606.0,6.095516720114469,602.0,1.1623823604213894,664.0
24.0,1.85,9.013542612247784,612.0,2.8563075721292863,614.0,6.195767730341394,610.0,1.1619619149592566,688.0
24.0,1.9,9.429530786217626,620.0,3.1829962916588386,622.0,6.2743034574465915,618.0,1.1628039341153809,704.0
24.0,1.9500000000000002,9.819643588136506,628.0,3.5173087414616675,630.0,6.328062736867186,626.0,1.162619122528414,718.0
24.0,2.0,10.212187236561673,638.0,3.8800360911758354,640.0,6.362248563644226,636.0,1.1622111755296531,732.0
28.0,1.0,2.0430859333833284,518.0,0.17648791408533085,522.0,1.8749826624103576,518.0,1.050674602364925,508.0
28.0,1.05,2.471769395954332,520.0,0.23342592043135227,526.0,2.2445326708886912,520.0,1.0818050106639454,408.0
28.0,1.1,2.9138134098259014,520.0,0.3065402271222715,532.0,2.6261141918495268,520.0,1.0952049180692784,520.0
28.0,1.15,3.3584980144394856,522.0,0.3995722436036194,538.0,2.9928927597209567,522.0,1.1155250063299746,526.0
28.0,1.2,3.7813976757145293,528.0,0.5170507548791299,544.0,3.3195464011463467,524.0,1.1358393929207904,536.0
28.0,1.25,4.237953380351196,534.0,0.6636917209406159,548.0,3.6413315353319904,532.0,1.1573321719397005,546.0
28.0,1.3,4.72816752186735,540.0,0.829090934564369,550.0,3.965554159345806,538.0,1.1766316895817017,554.0
28.0,1.35,5.255875053655873,548.0,1.011951542096275,554.0,4.285620731040553,544.0,1.194031310911501,564.0
28.0,1.4,5.743648836695592,552.0,1.2227025363443356,562.0,4.57854573352981,548.0,1.2111951115942188,576.0
28.0,1.45,6.202912785607406,560.0,1.462765828379825,568.0,4.806374378737704,556.0,1.2262715807370965,584.0
28.0,1.5,6.674565787090499,566.0,1.7336423590604724,576.0,5.008405299490568,564.0,1.237425391208227,596.0
28.0,1.55,7.156329853126421,574.0,2.035841168386793,580.0,5.183705391930528,572.0,1.2480627691799286,608.0
28.0,1.6,7.641268226565952,582.0,2.336605351812581,582.0,5.330202398468672,578.0,1.2574995904734254,620.0
28.0,1.65,8.01214415929181,588.0,2.621139731754209,590.0,5.4172710147935685,584.0,1.265040145200045,634.0
28.0,1.7000000000000002,8.348194200265581,596.0,2.9203935607452656,598.0,5.451100879773589,594.0,1.27187676362679,648.0
28.0,1.75,8.675303264116444,602.0,3.2335365461788688,604.0,5.460319399680618,602.0,1.277712023493928,662.0
28.0,1.8,8.996462890182155,610.0,3.5673119410666914,612.0,5.445093300203257,610.0,1.2802552852750049,678.0
28.0,1.85,9.30326533697957,618.0,3.8993241961903746,620.0,5.408194912435267,618.0,1.2830834712505383,694.0
28.0,1.9,9.575582412264025,628.0,4.219529749330969,628.0,5.357988400456191,626.0,1.2851215770216053,706.0
28.0,1.9500000000000002,9.839588411289848,636.0,4.554049442018428,638.0,5.292132568369472,636.0,1.2850858659824589,722.0
28.0,2.0,10.113828825356432,646.0,4.905847919905661,646.0,5.207980905450772,646.0,1.2846872486540075,736.0
32.0,1.0,2.515791547592723,520.0,0.30787492078387585,524.0,2.214084163130468,518.0,1.0749904559329657,508.0
32.0,1.05,3.0104725515481308,520.0,0.40609524548042225,530.0,2.6217123552433628,520.0,1.126678024129159,404.0
32.0,1.1,3.5048354613673744,522.0,0.5311114042082853,536.0,3.007286804592342,520.0,1.1439933243654716,522.0
32.0,1.15,3.9671152491571697,526.0,0.6888058094624788,542.0,3.3555386437397177,522.0,1.1748897555212938,528.0
32.0,1.2,4.4466275332599405,532.0,0.8857193287088814,548.0,3.656314241669323,528.0,1.206683104996247,538.0
32.0,1.25,4.957263446824168,540.0,1.107669676973963,550.0,3.9480956452002713,536.0,1.2404933994893619,548.0
32.0,1.3,5.4953157628912725,548.0,1.3475515378569318,556.0,4.220547558532421,542.0,1.2688754513596736,556.0
32.0,1.35,5.990471194036458,550.0,1.61912888185975,564.0,4.4631987197226195,548.0,1.2964084474925732,568.0
32.0,1.4,6.4387489716869855,560.0,1.9238074237121534,572.0,4.622999572289982,554.0,1.3240675137837914,580.0
32.0,1.45,6.882223246317205,568.0,2.260994822334047,582.0,4.745012801194184,562.0,1.345375980044674,590.0
32.0,1.5,7.313658206730486,576.0,2.5842478809468195,582.0,4.829850643756471,570.0,1.363923253080389,602.0
32.0,1.55,7.716093645977115,582.0,2.86963853523746,586.0,4.87519676810781,578.0,1.3815986620330323,614.0
32.0,1.6,7.990812014199059,588.0,3.1556647672874987,608.0,4.867821830952069,584.0,1.396349639159257,628.0
32.0,1.65,8.229774288554635,596.0,3.4718880870767124,618.0,4.821037492580916,594.0,1.4109412881288104,644.0
32.0,1.7000000000000002,8.441526814184352,604.0,3.761774463705182,630.0,4.752388587758469,602.0,1.4274815334207203,658.0
32.0,1.75,8.628278473152164,610.0,4.068383977148761,642.0,4.664458692460501,610.0,1.4350592134447024,670.0
32.0,1.8,8.794951331748354,618.0,4.388920214997689,654.0,4.568220528491022,622.0,1.4406788563726072,684.0
32.0,1.85,9.040337282641834,658.0,4.6673641354018365,662.0,4.520433261182725,648.0,1.4455761831441614,698.0
32.0,1.9,9.175856335158585,668.0,4.823235862993917,674.0,4.480977514637573,660.0,1.4474192350479442,712.0
32.0,1.9500000000000002,9.275659415285647,680.0,4.986463033325146,642.0,4.435571948000217,672.0,1.4467644849803207,726.0
32.0,2.0,9.369796259348673,692.0,5.247464783907326,650.0,4.38900897311022,684.0,1.4453830304345554,740.0
36.0,1.0,3.0348573088992707,520.0,0.49973986510030105,528.0,2.548454581024848,520.0,1.106257625379676,510.0
36.0,1.05,3.5718523531582744,522.0,0.6554377339005569,534.0,2.9575100987066683,520.0,1.1562213209363004,520.0
